RACE_HISP,SEX,YEAR,births
6,0,2025,326523
6,0,2026,333059
6,0,2027,339555
6,0,2028,345958
6,0,2029,352293
6,0,2030,358595
6,0,2031,364946
6,0,2032,371468
6,0,2033,378241
6,0,2034,385263
6,0,2035,392468
6,0,2036,399795
6,0,2037,407197
6,0,2038,414679
6,0,2039,422285
6,0,2040,430002
6,0,2041,437816
6,0,2042,445734
6,0,2043,453755
6,0,2044,461846
6,0,2045,469987
6,0,2046,478153
6,0,2047,486325
6,0,2048,494494
6,0,2049,502668
6,0,2050,510821
6,0,2051,518950
6,0,2052,527057
6,0,2053,535162
6,0,2054,543277
6,0,2055,551397
6,0,2056,559527
6,0,2057,567703
6,0,2058,575936
6,0,2059,584240
6,0,2060,592634
6,1,2014,131922
6,1,2015,134908
6,1,2016,137982
6,1,2017,141132
6,1,2018,144333
6,1,2019,147579
6,1,2020,150848
6,1,2021,154092
6,1,2022,157349
6,1,2023,160622
6,1,2024,163928
6,1,2025,167271
6,1,2026,170615
6,1,2027,173941
6,1,2028,177221
6,1,2029,180468
6,1,2030,183694
6,1,2031,186949
6,1,2032,190288
6,1,2033,193756
6,1,2034,197351
6,1,2035,201040
6,1,2036,204794
6,1,2037,208587
6,1,2038,212421
6,1,2039,216313
6,1,2040,220271
6,1,2041,224268
6,1,2042,228327
6,1,2043,232434
6,1,2044,236580
6,1,2045,240754
6,1,2046,244932
6,1,2047,249117
6,1,2048,253303
6,1,2049,257487
6,1,2050,261663
6,1,2051,265829
6,1,2052,269981
6,1,2053,274130
6,1,2054,278286
6,1,2055,282448
6,1,2056,286607
6,1,2057,290795
6,1,2058,295010
6,1,2059,299262
6,1,2060,303561
6,2,2014,125596
6,2,2015,128441
6,2,2016,131369
6,2,2017,134374
6,2,2018,137415
6,2,2019,140508
6,2,2020,143617
6,2,2021,146718
6,2,2022,149801
6,2,2023,152922
6,2,2024,156078
6,2,2025,159252
6,2,2026,162444
6,2,2027,165614
6,2,2028,168737
6,2,2029,171825
6,2,2030,174901
6,2,2031,177997
6,2,2032,181180
6,2,2033,184485
6,2,2034,187912
6,2,2035,191428
6,2,2036,195001
